id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
100176,gaṇetabbāti,.un.,,,,,gaṇetabbā+iti,,1,60,11,union,cm
100177,gaṅgāmahiyāti,.un.,,,,,gaṅgāmahiyā+iti,,1,60,13,union,cm
100178,gaṅgeyyassāti,.un.,,,,,gaṅgeyyassā+iti,,1,60,13,union,cm
100179,gaṇhantassāti,.un.,,,,,gaṇhantassā+iti,,1,60,13,union,cm
100180,gaṇhissāmāti,.un.,,,,,gaṇhissāmā+iti,,1,60,12,union,cm
100181,gaṇhitabbamevāti,.un.,,,,,gaṇhitabbaṃ+eva+iti,,1,80,16,union,cm
100182,gaṇhitthāti,.un.,,,,,gaṇhitthā+iti,,1,60,11,union,cm
100183,gantabbamevāti,.un.,,,,,gantabbaṃ+eva+iti,,1,80,14,union,cm
100184,gaṇthathāti,.un.,,,,,gaṇthathā+iti,,1,60,11,union,cm
100185,ganthitabbāti,.un.,,,,,ganthitabbā+iti,,1,60,13,union,cm
100186,ganthitāti,.un.,,,,,ganthitā+iti,,1,60,10,union,cm
100187,garahaṇacchariyamevāti,.un.,,,,,garahaṇacchariyaṃ+eva+iti,,1,80,22,union,cm
100188,garaheyyāti,.un.,,,,,garaheyyā+iti,,1,60,11,union,cm
100189,garahitabbāti,.un.,,,,,garahitabbā+iti,,1,60,13,union,cm
100190,garudhammāti,.un.,,,,,garudhammā+iti,,1,60,12,union,cm
100191,garukatarāti,.un.,,,,,garukatarā+iti,,1,60,12,union,cm
100192,garutāgahaṇenāti,.un.,,,,,garutāgahaṇenā+iti,,1,60,16,union,cm
100193,gataambucārīvāti,.un.,,,,,gataambucārīvā+iti,,1,60,16,union,cm
100194,gatabhāvenāti,.un.,,,,,gatabhāvenā+iti,,1,60,13,union,cm
100195,gatamhāti,.un.,,,,,gatamhā+iti,,1,60,9,union,cm
100196,gatavāti,.un.,,,,,gatavā+iti,,1,60,8,union,cm
100197,gāthamāhāti,.un.,,,,,gāthamāhā+iti,,1,60,11,union,cm
100198,gayāti,.un.,,,,,gayā+iti,,1,60,6,union,cm
100199,gayhatevāti,.un.,,,,,gayhatevā+iti,,1,60,11,union,cm
100200,gāyitthāti,.un.,,,,,gāyitthā+iti,,1,60,10,union,cm
100201,gihiniyāti,.un.,,,,,gihiniyā+iti,,1,60,10,union,cm
100202,gihipaṭisaṃyuttāti,.un.,,,,,gihipaṭisaṃyuttā+iti,,1,60,18,union,cm
100203,gijjhaghātakakulappasutassāti,.un.,,,,,gijjhaghātakakulappasutassā+iti,,1,60,29,union,cm
100204,gilānabhāvāti,.un.,,,,,gilānabhāvā+iti,,1,60,13,union,cm
100205,gilānassāti,.un.,,,,,gilānassā+iti,,1,60,11,union,cm
100206,gilānāti,.un.,,,,,gilānā+iti,,1,60,8,union,cm
100207,gīvāyevāti,.un.,,,,,gīvā+eva+iti,,1,60,10,union,cm
100208,gopālakagaṇanāyāti,.un.,,,,,gopālakagaṇanāyā+iti,,1,60,18,union,cm
100209,gottādijāti,.un.,,,,,gottādijā+iti,,1,60,11,union,cm
100210,gottenāti,.un.,,,,,gottenā+iti,,1,60,9,union,cm
100211,guḷikajāti,.un.,,,,,guḷikajā+iti,,1,60,10,union,cm
100212,guṇajāti,.un.,,,,,guṇajā+iti,,1,60,8,union,cm
100213,guṇaparidhaṃsanamevāti,.un.,,,,,guṇaparidhaṃsanaṃ+eva+iti,,1,80,22,union,cm
100214,guṇavasenāti,.un.,,,,,guṇavasenā+iti,,1,60,12,union,cm
100215,guṇavisesayogenāti,.un.,,,,,guṇavisesayogenā+iti,,1,60,18,union,cm
100216,guṇenāti,.un.,,,,,guṇenā+iti,,1,60,8,union,cm
100217,hānabhāgiyavisesabhāgiyadhammāti,.un.,,,,,hānabhāgiyavisesabhāgiyadhammā+iti,,1,60,32,union,cm
100218,handāti,.un.,,,,,handā+iti,,1,60,7,union,cm
100219,haññāmāti,.un.,,,,,haññāmā+iti,,1,60,9,union,cm
100220,haññitthāti,.un.,,,,,haññitthā+iti,,1,60,11,union,cm
100221,hārāti,.un.,,,,,hārā+iti,,1,60,6,union,cm
100222,harissathāti,.un.,,,,,harissathā+iti,,1,60,12,union,cm
100223,hasitabbavatthukāraṇāti,.un.,,,,,hasitabbavatthukāraṇā+iti,,1,60,23,union,cm
100224,hātabbāti,.un.,,,,,hātabbā+iti,,1,60,9,union,cm
100225,hatavāti,.un.,,,,,hatavā+iti,,1,60,8,union,cm
100226,hatthagatamevāti,.un.,,,,,hatthagataṃ+eva+iti,,1,80,16,union,cm
100227,hatthapādāti,.un.,,,,,hatthapādā+iti,,1,60,12,union,cm
100228,hatthappasāraṇaṃviyāti,.un.,,,,,hatthappasāraṇaṃviyā+iti,,1,60,22,union,cm
100229,henāti,.un.,,,,,henā+iti,,1,60,6,union,cm
100230,heṭṭhāmaggadvayañāṇenāti,.un.,,,,,heṭṭhāmaggadvayañāṇenā+iti,,1,60,24,union,cm
100231,heṭṭhimantenāti,.un.,,,,,heṭṭhimantenā+iti,,1,60,15,union,cm
100232,heṭṭhimassāti,.un.,,,,,heṭṭhimassā+iti,,1,60,13,union,cm
100233,hetuadhipatīnañcāti,.un.,,,,,hetuadhipatīnaṃ+ca+iti,,1,80,19,union,cm
100234,hetupaccayatāti,.un.,,,,,hetupaccayatā+iti,,1,60,15,union,cm
100235,hetuparāmasanamevāti,.un.,,,,,hetuparāmasanaṃ+eva+iti,,1,80,20,union,cm
100236,hetupaṭibaddhāti,.un.,,,,,hetupaṭibaddhā+iti,,1,60,16,union,cm
100237,hetuyevāti,.un.,,,,,hetu+eva+iti,,1,80,10,union,cm
100238,hīnajāti,.un.,,,,,hīnajā+iti,,1,60,8,union,cm
100239,hīnāyāvattanenāti,.un.,,,,,hīnāyāvattanenā+iti,,1,60,17,union,cm
100240,hitasukhāvahabhāvenāti,.un.,,,,,hitasukhāvahabhāvenā+iti,,1,60,22,union,cm
100241,hontevāti,.un.,,,,,hontevā+iti,,1,60,9,union,cm
100242,hotvanugiṇāti,.un.,,,,,hotvanugiṇā+iti,,1,60,13,union,cm
100243,hotvevāti,.un.,,,,,hotvevā+iti,,1,60,9,union,cm
100244,ibbhāti,.un.,,,,,ibbhā+iti,,1,60,7,union,cm
100245,icchāmāti,.un.,,,,,icchāmā+iti,,1,60,9,union,cm
100246,icchantassāti,.un.,,,,,icchantassā+iti,,1,60,13,union,cm
100247,icchantāti,.un.,,,,,icchantā+iti,,1,60,10,union,cm
100248,icchāpabhavāti,.un.,,,,,icchāpabhavā+iti,,1,60,14,union,cm
100249,icchathāti,.un.,,,,,icchathā+iti,,1,60,10,union,cm
