id,book,par_num,level,class,title,text
NULL,p34,258,8,hangnum,52.,52.
NULL,p34,259,100,gatha1,," Bhojjaṃ bhojanasatti ca,"
NULL,p34,260,100,gatha2,,"Ratisatti varā thiyo;"
NULL,p34,261,100,gatha3,,"Vibhavo dānasatti ca,"
NULL,p34,262,100,gathalast,,"Nāppassa tapaso phalaṃ."
NULL,p34,263,8,hangnum,53.,53.
NULL,p34,264,100,gatha1,," Puttappayojanā  dārā,"
NULL,p34,265,100,gatha2,,"Putto piṇḍappayojano;"
NULL,p34,266,100,gatha3,,"Hitappayojanaṃ mittaṃ,"
NULL,p34,267,100,gathalast,,"Dhanaṃ sabbappayojanaṃ."
NULL,p34,268,8,hangnum,54.,54.
NULL,p34,269,100,gatha1,," Dullabhaṃ  pākatikaṃ vākyaṃ,"
NULL,p34,270,100,gatha2,,"Dullabho khemakaro suto;"
NULL,p34,271,100,gatha3,,"Dullabhā sadisī jāyā,"
NULL,p34,272,100,gathalast,,"Dullabho sajano piyo."
NULL,p34,273,8,hangnum,55.,55.
NULL,p34,274,100,gatha1,," Selesele  namāṇikkaṃ,"
NULL,p34,275,100,gatha2,,"Muttikaṃ na gajegaje;"
NULL,p34,276,100,gatha3,,"Sādhavo na hi sabbatra,"
NULL,p34,277,100,gathalast,,"Candanaṃ na vanevane."
NULL,p34,278,8,hangnum,56.,56.
NULL,p34,279,100,gatha1,," Asoco  niddhano pañño,"
NULL,p34,280,100,gatha2,,"Asoco paṇḍitabandhavo;"
NULL,p34,281,100,gatha3,,"Asocā vidhavā nārī,"
NULL,p34,282,100,gathalast,,"Puttanatta patiṭṭhitā."
NULL,p34,283,8,hangnum,57.,57.
NULL,p34,284,100,gatha1,," Avijjo puriso soco,"
NULL,p34,285,100,gatha2,,"Socaṃ methuna mappajaṃ;"
NULL,p34,286,100,gatha3,,"Nirāhārā pajā socā,"
NULL,p34,287,100,gathalast,,"Socaṃ rajja marājakaṃ."
NULL,p34,288,8,hangnum,58.,58.
NULL,p34,289,100,gatha1,," Kulehi  saha sampakkaṃ,"
NULL,p34,290,100,gatha2,,"Paṇḍitehi ca mittataṃ;"
NULL,p34,291,100,gatha3,,"Ñātībhi ca samaṃ melaṃ,"
NULL,p34,292,100,gathalast,,"Kubbāno navinassati."
NULL,p34,293,8,hangnum,59.,59.
NULL,p34,294,100,gatha1,," Kaṭṭhā  vutti parādhinā,"
NULL,p34,295,100,gatha2,,"Kaṭṭho vāso nirāsayo;"
NULL,p34,296,100,gatha3,,"Niddhano byavasāyo ca,"
NULL,p34,297,100,gathalast,,"Sabbakaṭṭhā daliddatā."
NULL,p34,298,8,hangnum,60.,60.
NULL,p34,299,100,gatha1,," Takkarassa kuto dhammo,"
NULL,p34,300,100,gatha2,,"Dujjanassa kuto khamā;"
NULL,p34,301,100,gatha3,,"Vesiyā ca kuto sneho,"
NULL,p34,302,100,gathalast,,"Kuto saccañca kāminaṃ."
NULL,p34,303,8,hangnum,61.,61.
NULL,p34,304,100,gatha1,," Pesitassa  kuto mānaṃ,"
NULL,p34,305,100,gatha2,,"Kopanassa kuto sukhaṃ;"
NULL,p34,306,100,gatha3,,"Thīnaṃ kuto satittañca,"
