id,book,name,term,m_title,p_title,abbr
170,151,Paṭisambhidāmaggapāḷi,paṭisambhidāmaggapāḷi,paṭisambhidāmaggapāḷi,paṭisambhidāmaggapāḷi,paṭisaṃ.
171,152,Milindapañhapāḷi,milindapañhapāḷi,milindapañhapāḷi,milindapañhapāḷi,milinda.
172,153,Nettippakaraṇapāḷi,nettippakaraṇapāḷi,nettippakaraṇapāḷi,nettippakaraṇapāḷi,netti.
173,154,Khuddakapāṭhapāḷi,khuddakapāṭhapāḷi,khuddakapāṭhapāḷi,khuddakapāṭhapāḷi,khuddaka.
174,155,Peṭakopadesapāḷi,peṭakopadesapāḷi,peṭakopadesapāḷi,peṭakopadesapāḷi,peṭako.
175,156,Dhammapadapāḷi,dhammapadapāḷi,dhammapadapāḷi,dhammapadapāḷi,dhamma.
176,157,Udānapāḷi,udānapāḷi,udānapāḷi,udānapāḷi,udāna.
177,158,Itivuttakapāḷi,itivuttakapāḷi,itivuttakapāḷi,itivuttakapāḷi,itivutta.
178,159,Suttanipātapāḷi,suttanipātapāḷi,suttanipātapāḷi,suttanipātapāḷi,suttani.
179,160,Vimānavatthupāḷi,vimānavatthupāḷi,vimānavatthupāḷi,vimānavatthupāḷi,vimāna.
180,161,Petavatthupāḷi,petavatthupāḷi,petavatthupāḷi,petavatthupāḷi,peta.
181,162,Theragāthāpāḷi,theragāthāpāḷi,theragāthāpāḷi,theragāthāpāḷi,theragāthā.
182,163,Therīgāthāpāḷi,therīgāthāpāḷi,therīgāthāpāḷi,therīgāthāpāḷi,therī.
183,164,Mūlapaṇṇāsapāḷi,majimanikaya,majimanikaya,majimanikaya,ma.
184,165,Majjhimapaṇṇāsapāḷi,majimanikaya,majimanikaya,majimanikaya,ma.
