id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
599,pitarebhi,.n.,.m.$.pl.$.abl.,pitu,,,,,1,100,9,irregular,cm
600,pitarebhi,.n.,.m.$.pl.$.inst.,pitu,,,,,1,100,9,irregular,cm
601,pitarehi,.n.,.m.$.pl.$.abl.,pitu,,,,,1,100,8,irregular,cm
602,pitarehi,.n.,.m.$.pl.$.inst.,pitu,,,,,1,100,8,irregular,cm
603,pitaresu,.n.,.m.$.pl.$.loc.,pitu,,,,,1,100,8,irregular,cm
604,pitari,.n.,.m.$.sg.$.loc.,pitu,,,,,1,100,6,irregular,cm
605,pitaro,.n.,.m.$.pl.$.acc.,pitu,,,,,1,100,6,irregular,cm
606,pitaro,.n.,.m.$.pl.$.nom.,pitu,,,,,1,100,6,irregular,cm
607,pitaro,.n.,.m.$.pl.$.voc.,pitu,,,,,1,100,6,irregular,cm
608,pitito,.n.,.m.$.sg.$.abl.,pitu,,,,,1,100,6,irregular,cm
609,pitu,.n.,.m.$.sg.$.dat.,pitu,,,,,1,100,4,irregular,cm
610,pitu,.n.,.m.$.sg.$.gen.,pitu,,,,,1,100,4,irregular,cm
611,pitū,.n.,.m.$.pl.$.acc.,pitu,,,,,1,100,4,irregular,cm
612,pitūbhi,.n.,.m.$.pl.$.abl.,pitu,,,,,1,100,7,irregular,cm
613,pitūbhi,.n.,.m.$.pl.$.inst.,pitu,,,,,1,100,7,irregular,cm
614,pitūhi,.n.,.m.$.pl.$.abl.,pitu,,,,,1,100,6,irregular,cm
615,pitūhi,.n.,.m.$.pl.$.inst.,pitu,,,,,1,100,6,irregular,cm
616,pitunā,.n.,.m.$.sg.$.inst.,pitu,,,,,1,100,6,irregular,cm
617,pitūnaṃ,.n.,.m.$.pl.$.dat.,pitu,,,,,1,100,7,irregular,cm
618,pitūnaṃ,.n.,.m.$.pl.$.gen.,pitu,,,,,1,100,7,irregular,cm
619,pitunnaṃ,.n.,.m.$.pl.$.dat.,pitu,,,,,1,100,8,irregular,cm
620,pitunnaṃ,.n.,.m.$.pl.$.gen.,pitu,,,,,1,100,8,irregular,cm
621,pituno,.n.,.m.$.sg.$.dat.,pitu,,,,,1,100,6,irregular,cm
622,pituno,.n.,.m.$.sg.$.gen.,pitu,,,,,1,100,6,irregular,cm
623,pitussa,.n.,.m.$.sg.$.dat.,pitu,,,,,1,100,7,irregular,cm
624,pitussa,.n.,.m.$.sg.$.gen.,pitu,,,,,1,100,7,irregular,cm
625,pitusu,.n.,.m.$.pl.$.loc.,pitu,,,,,1,100,6,irregular,cm
626,pitūsu,.n.,.m.$.pl.$.loc.,pitu,,,,,1,100,6,irregular,cm
627,sabba,.ti:base.,,,一切$全部$所有的,,,,1,100,5,Kosalla_China,zh-hans
628,sabba,.ti:base.,,,all$whole,,,,1,100,5,Kosalla_China,cm
629,sabba,.ti.,.m.$.sg.$.voc.,sabba,,,,,1,100,5,irregular,cm
630,sabba,.ti.,.nt.$.sg.$.voc.,sabba,,,,,1,100,5,irregular,cm
631,sabbā,.ti.,.f.$.pl.$.acc.,sabba,,,,,1,100,5,irregular,cm
632,sabbā,.ti.,.f.$.sg.$.nom.,sabba,,,,,1,100,5,irregular,cm
633,sabbā,.ti.,.f.$.pl.$.nom.,sabba,,,,,1,100,5,irregular,cm
634,sabbā,.ti.,.m.$.sg.$.voc.,sabba,,,,,1,100,5,irregular,cm
635,sabbā,.ti.,.nt.$.sg.$.voc.,sabba,,,,,1,100,5,irregular,cm
636,sabbābhi,.ti.,.f.$.pl.$.abl.,sabba,,,,,1,100,8,irregular,cm
637,sabbābhi,.ti.,.f.$.pl.$.inst.,sabba,,,,,1,100,8,irregular,cm
638,sabbāhi,.ti.,.f.$.pl.$.abl.,sabba,,,,,1,100,7,irregular,cm
639,sabbāhi,.ti.,.f.$.pl.$.inst.,sabba,,,,,1,100,7,irregular,cm
640,sabbaṃ,.ti.,.f.$.sg.$.acc.,sabba,,,,,1,100,6,irregular,cm
641,sabbaṃ,.ti.,.m.$.sg.$.acc.,sabba,,,,,1,100,6,irregular,cm
642,sabbaṃ,.ti.,.nt.$.sg.$.acc.,sabba,,,,,1,100,6,irregular,cm
643,sabbaṃ,.ti.,.nt.$.sg.$.nom.,sabba,,,,,1,100,6,irregular,cm
644,sabbamhā,.ti.,.m.$.sg.$.abl.,sabba,,,,,1,100,8,irregular,cm
645,sabbamhā,.ti.,.nt.$.sg.$.abl.,sabba,,,,,1,100,8,irregular,cm
646,sabbamhi,.ti.,.m.$.sg.$.loc.,sabba,,,,,1,100,8,irregular,cm
647,sabbamhi,.ti.,.nt.$.sg.$.loc.,sabba,,,,,1,100,8,irregular,cm
648,sabbāni,.ti.,.nt.$.pl.$.acc.,sabba,,,,,1,100,7,irregular,cm
649,sabbāni,.ti.,.nt.$.pl.$.nom.,sabba,,,,,1,100,7,irregular,cm
650,sabbāni,.ti.,.nt.$.pl.$.voc.,sabba,,,,,1,100,7,irregular,cm
651,sabbāsaṃ,.ti.,.f.$.pl.$.dat.,sabba,,,,,1,100,8,irregular,cm
652,sabbāsaṃ,.ti.,.f.$.pl.$.gen.,sabba,,,,,1,100,8,irregular,cm
653,sabbāsānaṃ,.ti.,.f.$.pl.$.dat.,sabba,,,,,1,100,10,irregular,cm
654,sabbāsānaṃ,.ti.,.f.$.pl.$.gen.,sabba,,,,,1,100,10,irregular,cm
655,sabbasmā,.ti.,.m.$.sg.$.abl.,sabba,,,,,1,100,8,irregular,cm
656,sabbasmā,.ti.,.nt.$.sg.$.abl.,sabba,,,,,1,100,8,irregular,cm
657,sabbasmiṃ,.ti.,.m.$.sg.$.loc.,sabba,,,,,1,100,9,irregular,cm
658,sabbasmiṃ,.ti.,.nt.$.sg.$.loc.,sabba,,,,,1,100,9,irregular,cm
659,sabbassa,.ti.,.m.$.sg.$.dat.,sabba,,,,,1,100,8,irregular,cm
660,sabbassa,.ti.,.nt.$.sg.$.dat.,sabba,,,,,1,100,8,irregular,cm
661,sabbassa,.ti.,.m.$.sg.$.gen.,sabba,,,,,1,100,8,irregular,cm
662,sabbassa,.ti.,.nt.$.sg.$.gen.,sabba,,,,,1,100,8,irregular,cm
663,sabbassā,.ti.,.f.$.sg.$.dat.,sabba,,,,,1,100,8,irregular,cm
664,sabbassā,.ti.,.f.$.sg.$.gen.,sabba,,,,,1,100,8,irregular,cm
665,sabbassā,.ti.,.f.$.sg.$.loc.,sabba,,,,,1,100,8,irregular,cm
666,sabbassaṃ,.ti.,.f.$.sg.$.loc.,sabba,,,,,1,100,9,irregular,cm
667,sabbāsu,.ti.,.f.$.pl.$.loc.,sabba,,,,,1,100,7,irregular,cm
668,sabbāya,.ti.,.f.$.sg.$.abl.,sabba,,,,,1,100,7,irregular,cm
669,sabbāya,.ti.,.f.$.sg.$.dat.,sabba,,,,,1,100,7,irregular,cm
670,sabbāya,.ti.,.f.$.sg.$.gen.,sabba,,,,,1,100,7,irregular,cm
671,sabbāya,.ti.,.f.$.sg.$.inst.,sabba,,,,,1,100,7,irregular,cm
672,sabbāya,.ti.,.f.$.sg.$.loc.,sabba,,,,,1,100,7,irregular,cm
673,sabbāyaṃ,.ti.,.f.$.sg.$.loc.,sabba,,,,,1,100,8,irregular,cm
674,sabbāyo,.ti.,.f.$.pl.$.acc.,sabba,,,,,1,100,7,irregular,cm
675,sabbāyo,.ti.,.f.$.pl.$.nom.,sabba,,,,,1,100,7,irregular,cm
676,sabbāyo,.ti.,.f.$.pl.$.voc.,sabba,,,,,1,100,7,irregular,cm
677,sabbe,.ti.,.m.$.pl.$.acc.,sabba,,,,,1,100,5,irregular,cm
678,sabbe,.ti.,.m.$.pl.$.nom.,sabba,,,,,1,100,5,irregular,cm
679,sabbe,.ti.,.f.$.sg.$.voc.,sabba,,,,,1,100,5,irregular,cm
680,sabbe,.ti.,.m.$.pl.$.voc.,sabba,,,,,1,100,5,irregular,cm
681,sabbebhi,.ti.,.m.$.pl.$.abl.,sabba,,,,,1,100,8,irregular,cm
682,sabbebhi,.ti.,.nt.$.pl.$.abl.,sabba,,,,,1,100,8,irregular,cm
683,sabbebhi,.ti.,.m.$.pl.$.inst.,sabba,,,,,1,100,8,irregular,cm
684,sabbebhi,.ti.,.nt.$.pl.$.inst.,sabba,,,,,1,100,8,irregular,cm
685,sabbehi,.ti.,.m.$.pl.$.abl.,sabba,,,,,1,100,7,irregular,cm
686,sabbehi,.ti.,.nt.$.pl.$.abl.,sabba,,,,,1,100,7,irregular,cm
687,sabbehi,.ti.,.m.$.pl.$.inst.,sabba,,,,,1,100,7,irregular,cm
688,sabbehi,.ti.,.nt.$.pl.$.inst.,sabba,,,,,1,100,7,irregular,cm
689,sabbena,.ti.,.m.$.sg.$.inst.,sabba,,,,,1,100,7,irregular,cm
690,sabbena,.ti.,.nt.$.sg.$.inst.,sabba,,,,,1,100,7,irregular,cm
691,sabbesaṃ,.ti.,.m.$.pl.$.dat.,sabba,,,,,1,100,8,irregular,cm
692,sabbesaṃ,.ti.,.nt.$.pl.$.dat.,sabba,,,,,1,100,8,irregular,cm
693,sabbesaṃ,.ti.,.m.$.pl.$.gen.,sabba,,,,,1,100,8,irregular,cm
694,sabbesaṃ,.ti.,.nt.$.pl.$.gen.,sabba,,,,,1,100,8,irregular,cm
695,sabbesānaṃ,.ti.,.m.$.pl.$.dat.,sabba,,,,,1,100,10,irregular,cm
696,sabbesānaṃ,.ti.,.nt.$.pl.$.dat.,sabba,,,,,1,100,10,irregular,cm
697,sabbesānaṃ,.ti.,.m.$.pl.$.gen.,sabba,,,,,1,100,10,irregular,cm
698,sabbesānaṃ,.ti.,.nt.$.pl.$.gen.,sabba,,,,,1,100,10,irregular,cm
699,sabbesu,.ti.,.m.$.pl.$.loc.,sabba,,,,,1,100,7,irregular,cm
700,sabbesu,.ti.,.nt.$.pl.$.loc.,sabba,,,,,1,100,7,irregular,cm
701,sabbo,.ti.,.m.$.sg.$.nom.,sabba,,,,,1,100,5,irregular,cm
702,naṃ,.pron.,.f.$.sg.$.acc.,ta,,,,,1,100,3,irregular,cm
703,naṃ,.pron.,.m.$.sg.$.acc.,ta,,,,,1,100,3,irregular,cm
704,nesaṃ,.pron.,.m.$.pl.$.dat.,ta,,,,,1,100,5,irregular,cm
705,nesaṃ,.pron.,.nt.$.pl.$.dat.,ta,,,,,1,100,5,irregular,cm
706,nesaṃ,.pron.,.m.$.pl.$.gen.,ta,,,,,1,100,5,irregular,cm
707,nesaṃ,.pron.,.nt.$.pl.$.gen.,ta,,,,,1,100,5,irregular,cm
708,nesānaṃ,.pron.,.m.$.pl.$.dat.,ta,,,,,1,100,7,irregular,cm
