"gramma","count"
pāṇinī3.,1
pāṇini3.2.,2
pāṇinī3.4.,1
pāṇini5.,2
pāṇini5.3.,1
pāṇini5.4.,1
pāṇini6.,1
pāṇini6.3.,1
pārā,1
pārā.,1319
Pārā.,1
pārā.1.,7
pārā.2.,1
"pārā.73,pari.",1

pārā.aṭṭha.,660
Pārā.aṭṭha.,1
pārā.aṭṭha.1.,180
Pārā.aṭṭha.1.,1
pārā.aṭṭha.2.,425

parama.vi.,4
Parama.vi.,1
pārāyanānugītigāthāniddesa,2
pārāyanānugītiniddesa,1
pari.,357
pāri.,2
pari.aṭṭha.,74
paribhāsendusekhara,3
paribhāsendusere,1
passama.ni.,1
passama.ni.3.,1
paṭhamavagga,1
paṭi.,6
paṭi.1.,1
paṭi.3.,1
paṭi.aṭṭha.,1
paṭi.ma.,840
pāṭi.ma.,1
paṭi.ma.1.,516
paṭi.ma.1.1.,1
"paṭi.ma.1.24,3.",1
"paṭi.ma.105,mahāni.aṭṭha.",1
paṭi.ma.2.,132
pāṭi.ma.2.,1
paṭi.ma.2.1.,1
paṭi.ma.3.,175
paṭi.ma.aṭṭha.,83
paṭi.ma.aṭṭha.1.,32
paṭi.ma.aṭṭha.1.1.,25
paṭi.ma.aṭṭha.1.2.,1
paṭi.ma.aṭṭha.2.,46
paṭi.ma.aṭṭha.2.1.,30
paṭi.ma.aṭṭha.2.2.,13
paṭi.ma.aṭṭha.2.3.,2
paṭi.ma.mātikā1.,11
"paṭi.ma.mātikā68,1.",1
paṭi.ro.,1
paṭi.ro.1.,1
paṭṭhā,4
paṭṭha.,1
paṭṭhā.,355
paṭṭha.1.,1
paṭṭhā.1.,243
paṭṭha.1.1.,1
paṭṭhā.1.1.,216
paṭṭhā.1.2.,8
paṭṭhā.1.3.,10
paṭṭhā.1.4.,6
paṭṭhā.1.paccayaniddesa.,1
paṭṭhā.2.,69
paṭṭhā.2.12.,12
paṭṭhā.2.14.,1
paṭṭhā.2.15.,2
paṭṭhā.2.16.,1
paṭṭhā.2.17.,4
paṭṭhā.2.18.,15
paṭṭhā.2.19.,10
paṭṭhā.2.20.,3
paṭṭhā.2.21.,1
paṭṭhā.2.22.,5
paṭṭhā.2.6.,4
paṭṭhā.2.7.,3
paṭṭhā.2.8.,11
paṭṭhā.3.,39
paṭṭhā.3.1.,16
paṭṭhā.3.3.,6
paṭṭhā.3.4.,4
paṭṭhā.3.8.,12
paṭṭhā.4.,4
paṭṭhā.4.13.,5
paṭṭhā.5.,1
paṭṭhā.5.1.,1
paṭṭhā.9.,1
paṭṭhā.9.12.,1
paṭṭhā.anuṭī.,1
paṭṭhā.anuṭī.1.,1
paṭṭhā.aṭṭha.,9
paṭṭhā.aṭṭha.1.,9
paṭṭhā1.,3
paṭṭhā1.1.,3
paṭṭhā3.,1
paṭṭhā3.4.,1
paṭṭhāna.,1
paṭṭhāna.1.,1
paṭṭhāna.1.1.,1
pe.va.,59
pe.va.aṭṭha.,2
peṭako,1
peṭako.,65
"pī.,dī.ni.",1
"pī.,dī.ni.1.",1
pī.a.ni.,1
pī.a.ni.4.,1
"pī.ka.,ma.ni.",2
"pī.ka.,ma.ni.2.",2
posālamāṇavapucchāniddesa,1
pu.pa.,94
pu.pa.10.,1
pu.pa.13.,1
pu.pa.15.,1
pu.pa.7.,2
pu.pa.aṭṭha.,9
pu.pa.mātikā4.,2
pu.pa.mātikā7.,2
pu.pa.mūlaṭī.,1
ro.ni.,1
ro.ni.1.,1
ro.ni.1.1.,1
rū.,1
rupasiddhi,1
rupasiddhiyaṃ,1
sa.ni.,7
sa.ni.1.,1
sa.ni.2.,2
sa.ni.3.,1
sa.ni.4.,1
sa.ni.5.,3
sa.sa.,7
Sa.sa.,2
sabbatthaa.ni.,1
sabbatthaa.ni.5.,1
saddanīti,1
saddanītidhātumālāyaṃ,20
saddanītisuttamālāya,1
saṃ.,1
saṃ.ni.,2715
Saṃ.ni.,14
saṃ.ni.1.,757
Saṃ.ni.1.,11
saṃ.ni.1.1.,1
saṃ.ni.1.2.,1
saṃ.ni.10.,2
saṃ.ni.2.,654
Saṃ.ni.2.,8
saṃ.ni.2.22.,1
saṃ.ni.2.3.,2
saṃ.ni.2.4.,10
"saṃ.ni.2.43,44,45,saṃ.ni.",1
"saṃ.ni.2.43,44,45,saṃ.ni.4.",1
saṃ.ni.3.,428
Saṃ.ni.3.,1
saṃ.ni.3.5.,2
Saṃ.ni.3.5.,1
saṃ.ni.30.,5
saṃ.ni.4.,371
Saṃ.ni.4.,1
saṃ.ni.5.,651
saṃ.ni.6.,1
saṃ.ni.8.,2
saṃ.ni.9.,2

saṃ.ni.aṭṭha.,141

saṃ.ni.aṭṭha.1.,46
saṃ.ni.aṭṭha.1.1.,41
saṃ.ni.aṭṭha.1.2.,1

saṃ.ni.aṭṭha.2.,52
saṃ.ni.aṭṭha.2.2.,37
saṃ.ni.aṭṭha.2.3.,10
saṃ.ni.aṭṭha.2.4.,1

saṃ.ni.aṭṭha.3.,42
saṃ.ni.aṭṭha.3.4.,10
saṃ.ni.aṭṭha.3.5.,30

saṃ.ni.ṭī.,60

saṃ.ni.ṭī.1.,35
saṃ.ni.ṭī.1.1.,28
saṃ.ni.ṭī.1.2.,1

