"gramma","count"
passama.ni.,1
passama.ni.3.,1
paṭhamavagga,1
paṭi.1.,1
paṭi.3.,1
paṭi.aṭṭha.,1
pāṭi.ma.,1
paṭi.ma.1.1.,1
"paṭi.ma.1.24,3.",1
"paṭi.ma.105,mahāni.aṭṭha.",1
pāṭi.ma.2.,1
paṭi.ma.2.1.,1
paṭi.ma.aṭṭha.1.2.,1
"paṭi.ma.mātikā68,1.",1
paṭi.ro.,1
paṭi.ro.1.,1
paṭṭha.,1
paṭṭha.1.,1
paṭṭha.1.1.,1
paṭṭhā.1.paccayaniddesa.,1
paṭṭhā.2.14.,1
paṭṭhā.2.16.,1
paṭṭhā.2.21.,1
paṭṭhā.5.,1
paṭṭhā.5.1.,1
paṭṭhā.9.,1
paṭṭhā.9.12.,1
paṭṭhā.anuṭī.,1
paṭṭhā.anuṭī.1.,1
paṭṭhā3.,1
paṭṭhā3.4.,1
paṭṭhāna.,1
paṭṭhāna.1.,1
paṭṭhāna.1.1.,1
peṭako,1
"pī.,dī.ni.",1
"pī.,dī.ni.1.",1
pī.a.ni.,1
pī.a.ni.4.,1
posālamāṇavapucchāniddesa,1
pu.pa.10.,1
pu.pa.13.,1
pu.pa.15.,1
pu.pa.mūlaṭī.,1
ro.ni.,1
ro.ni.1.,1
ro.ni.1.1.,1
rū.,1
rupasiddhi,1
rupasiddhiyaṃ,1
sa.ni.1.,1
sa.ni.3.,1
sa.ni.4.,1
sabbatthaa.ni.,1
sabbatthaa.ni.5.,1
saddanīti,1
saddanītisuttamālāya,1
saṃ.,1
saṃ.ni.1.1.,1
saṃ.ni.1.2.,1
saṃ.ni.2.22.,1
"saṃ.ni.2.43,44,45,saṃ.ni.",1
"saṃ.ni.2.43,44,45,saṃ.ni.4.",1
Saṃ.ni.3.,1
Saṃ.ni.3.5.,1
Saṃ.ni.4.,1
saṃ.ni.6.,1
saṃ.ni.aṭṭha.1.2.,1
saṃ.ni.aṭṭha.2.4.,1
saṃ.ni.ṭī.1.2.,1
saṃ.ni.ṭī.2.1.,1
saṃ.ni.ṭī.2.4.,1
saṃ.ni2.,1
saṃ.ni2.4.,1
saṃni.2.4.,1
sārattha.aṭṭha.,1
sārattha.aṭṭha.pācittiya3.,1
sārattha.dī.,1
sārattha.dī.pārājikakaṇḍa2.,1
sārattha.ṭī..,1
sārattha.ṭī..Cūḷavagga3.,1
sārattha.ṭī.1.buddhāciṇṇakathā.,1
sārattha.ṭī.cūḷava.,1
sārattha.ṭī.cūḷava.3.,1
sārattha.ṭī.cūḷavagga.,1
sārattha.ṭī.cūḷavagga.3.,1
sārattha.ṭī.cūḷavagga2.,1
sārattha.ṭī.cūḷvagga3.,1
sārattha.ṭī.mahāva.,1
sārattha.ṭī.mahāvaggo3.,1
sārattha.ṭī.pārājika2.,1
sārattha.ṭī.pārājikakaṇḍa3.,1
sārattha.ṭī.saṃghādisesakaṇḍa3.,1
sārattha.ṭī.sekhiyakaṇḍa3.,1
sārattha.ṭī.verañjakaaṇḍavaṇṇanā.,1
sāratthaṭī.mahāvagga3.,1
sāratthaṭī.pārājikakaṇḍa2.,1
savipākaṃ,1
sī.aṭṭha.su.ni.,1
sī.dha.pa.,1
"sī.pī.,a.ni.",1
"sī.pī.,a.ni.8.",1
sī.pī.a.ni.3.,1
sī.pī.a.ni.4.,1
sī.pī.a.ni.8.,1
sī.pī.saṃ.ni.1.,1
sī.pī.saṃ.ni.5.,1
sī.saṃ.ni.,1
sī.saṃ.ni.1.,1
"sī.syā.,saṃ.ni.",1
"sī.syā.,saṃ.ni.1.",1
"sī.syā.kaṃ.pī.,saṃ.ni.",1
"sī.syā.kaṃ.pī.,saṃ.ni.2.",1
sī.syā.ma.ni.,1
sī.syā.ma.ni.2.,1
sī.syā.pī.su.ni.,1
sīlasuddhivasenadī.ni.ṭī.,1
sīlasuddhivasenadī.ni.ṭī.1.,1
Su.ni.,1
su.ni.1.15.,1
su.ni.15.,1
su.ni.aṭṭha.1.1.,1
subodhālaṃkāre,1
sukkhāsaniviyadī.ni.aṭṭha.,1
sukkhāsaniviyadī.ni.aṭṭha.3.,1
suṃ.ni.,1
suṃ.ni.1.,1
syā.jā.1.4.,1
syā.jā.1.6.,1
"syā.kaṃ.,dī.ni.",1
"syā.kaṃ.,dī.ni.2.",1
"syā.kaṃ.aṭṭhakathāyampipāṭhantaraṃ,saṃ.ni.",1
"syā.kaṃ.aṭṭhakathāyampipāṭhantaraṃ,saṃ.ni.3.",1
"syā.kaṃ.ka.,a.ni.",1
"syā.kaṃ.ka.,a.ni.3.",1
syā.mahāva.,1
syā.saṃ.ni.,1
syā.saṃ.ni.1.,1
syā.udā.,1
Theragā.,1
theragā.aṭṭha.1.1.,1
theragā.aṭṭha.1.2.,1
tissametteyyamāṇavapucchāniddesa,1
"tissametteyyamāṇavapucchāniddesa10,",1
titaṇḍasesa,1
titaṇḍasesa1.,1
titaṇḍasesa1.1.,1
Udā.,1
udā.aṭṭha.1.,1
udāna.aṭṭha.,1
udānaaṭṭha.,1
udānaparicchedo,1
udānaṭṭhakathāyaṃ,1
"udānaṭṭhakathāyaṃ4vagge,",1
upasīvamāṇavapucchāniddesa,1
va.,1
vajira.ṭī.cūḷavagga.,1
vajiraṭī.,1
vanadāhādīsuvāsārattha.ṭī.,1
vanadāhādīsuvāsārattha.ṭī.cūḷavagga3.,1
vi.,1
vi.aṭṭha.2.,1
Vi.saṅga.aṭṭha.,1
vi.saṅgaaṭṭha.,1
Vi.va.,1
vi.vi.ṭi.,1
vi.vi.ṭī.pacittiya2.,1
vi.vi.ṭi.parivāra2.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.2.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.2.2.,1
vibha.1.,1
vibha.3.,1
vibha.4.,1
